hanzi,pinyin,english,hsk_level,category,frequency_rank
的,de,[structural particle],1,Particle,2
了,le,[aspectual particle],1,Particle,3
我,wǒ,"I, me",1,Personal Pronoun,4
一,yī,one,1,Numeral,5
在,zài,"in, at",1,Preposition,6
是,shì,"to be (am, is, are)",1,Verb,7
他,tā,"he, him",1,Personal Pronoun,9
个,gè,[measure word for people],1,Measure Word,10
你,nǐ,you,1,Personal Pronoun,11
和,hé,and,1,Conjunction,12
不,bù,"no, not",1,Adverb,13
有,yǒu,to have,1,Verb,14
就,jiù,just (emphasis); only,2,Adverb,15
这,zhè,this,1,Demonstrative Pronoun,16
也,yě,also,2,Adverb,17
说,shuō,to say. to speak,1,Verb,19
人,rén,person,1,Noun,20
她,tā,"she, her",1,Personal Pronoun,21
着,zhe,[aspectual particle indicating a continuous state],2,Particle,22
都,dōu,all,1,Adverb,23
我们,wǒmen,"we, us",1,Personal Pronoun,25
上,shàng,up,1,Noun,26
年,nián,year,1,Noun,27
要,yào,to want; to need; have to; want to; will,2,Auxiliary Verb,28
地,de,[structural particle used before a verb or adjective],3,Particle,29
对,duì,correct,2,Adjective,30
对,duì,toward,2,Preposition,30
没有,méiyǒu,did not,1,Adverb,32
没有,méiyǒu,to not have,1,Verb,32
很,hěn,very,1,Adverb,33
到,dào,"to arrive; to (a place), until (a time)",2,Verb,34
看,kàn,to look (at),1,Verb,35
去,qù,to go,1,Verb,36
来,lái,to come,1,Verb,37
把,bǎ,[measure word for things with a handle],3,Measure Word,41
自己,zìjǐ,oneself,3,Personal Pronoun,42
还,hái,still; in addition; even,2,Adverb,43
还,huán,"to return (money, etc.)",3,Verb,43
那,nà,that,1,Demonstrative Pronoun,44
会,huì,"can, know to",1,Auxiliary Verb,45
大,dà,big,1,Adjective,46
又,yòu,(once) again,3,Adverb,47
好,hǎo,good,1,Adjective,49
多,duō,many,1,Adjective,50
得,děi,"must, have to",4,Auxiliary Verb,51
得,de,[structural particle used after a verb],2,Particle,51
为,wèi,for; to,3,Preposition,52
与,yú,"with, to",4,Preposition,53
而,ér,"but (not), yet (not) [indicates contrast]",4,Conjunction,54
两,liǎng,two (of something),2,Numeral,56
想,xiǎng,would like to,1,Auxiliary Verb,57
什么,shénme,"what, why",1,Interrogative Pronoun,60
被,bèi,[passive marker],3,Preposition,61
月,yuè,month,1,Noun,62
从,cóng,from; via,2,Preposition,63
种,zhǒng,"kind, type",3,Measure Word,64
给,gěi,"to, for",2,Preposition,65
给,gěi,to give,2,Verb,65
让,ràng,"to let, to make, to have (someone do something)",2,Verb,66
可以,kěyǐ,"may, can",2,Auxiliary Verb,68
下,xià,down,1,Noun,69
小,xiǎo,small,1,Adjective,72
点,diǎn,"point, dot, spot",1,Noun,73
之,zhī,"[possessive particle, literary equivalent of 的]",4,Particle,77
日,rì,day; Japan,2,Noun,79
能,néng,"can, be able to",1,Auxiliary Verb,80
中国,Zhōngguó,China,1,Noun,81
过,guo,[aspectual particle to indicate experience],2,Particle,82
过,guò,"to spend, to pass",3,Verb,82
用,yòng,to use,3,Verb,83
做,zuò,to do,1,Verb,84
知道,zhīdào,to know,2,Verb,85
等,děng,etc.,4,Particle,86
等,děng,to wait (for),2,Verb,86
几,jǐ,"how many, a few",1,Interrogative Pronoun,87
三,sān,three,1,Numeral,89
因为,yīnwèi,because,2,Conjunction,90
最,zuì,"most, -est",2,Adverb,91
次,cì,[measure word for how many times something happens],2,Measure Word,94
时候,shíhou,time,1,Noun,95
现在,xiànzài,now,1,Noun,97
已经,yǐjīng,already,2,Adverb,98
再,zài,again; another; then,2,Adverb,100
吧,ba,[modal particle for suggestions],2,Particle,101
以,yǐ,"with, using, by means of",4,Preposition,104
时间,shíjiān,time,2,Noun,105
还是,háishì,or; still,3,Conjunction,106
走,zǒu,"to walk, to go, to leave",2,Verb,107
更,gèng,even more,3,Adverb,108
呢,ne,[question particle],1,Particle,109
吗,ma,[question particle],1,Particle,110
只,zhǐ,only,3,Adverb,112
只,zhī,[measure word for small things],3,Measure Word,112
问题,wèntí,"question; problem, issue",2,Noun,113
问题,wèntí,"question; problem, issue",3,Noun,113
它,tā,it,2,Personal Pronoun,114
如果,rúguǒ,if,3,Conjunction,115
家,jiā,home,1,Noun,116
啊,a,[sentence-final modal particle],3,Particle,117
工作,gōngzuò,to work,1,Verb,118
才,cái,only; just now; not until...,3,Adverb,119
却,què,"however, yet",4,Adverb,120
向,xiàng,towards,3,Preposition,121
所,suǒ,[particle introducing a clause],5,Particle,122
问,wèn,to ask,2,Verb,123
新,xīn,new,2,Adjective,124
吃,chī,to eat,1,Verb,125
开始,kāishǐ,to start; beginning,2,Verb,127
元,yuán,[measure word for units of money],3,Measure Word,128
出,chū,to go out; to happen,2,Verb,129
像,xiàng,to resemble; like,3,Verb,131
